BenchMarkFunction, Test Number, Harmony Memory Size Test Number, Dimensions, Search Range, Adjustment Range, Harmony Memory Size, Acceptance Rate, Best Result, Current Result, Coordenadas 
sphere,1,0,1,-10-10,0.7,20,0.95,3.698868587123148e-8,0.00019232442869077104,0.00019232442869077104,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
sphere,1,1,1,-10-10,0.7,20,0.95,3.698868587123148e-8,undefined,0.00019232442869077104,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
sphere,1,2,1,-10-10,0.7,20,0.95,3.698868587123148e-8,undefined,0.00019232442869077104,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
sphere,1,3,1,-10-10,0.7,20,0.95,3.698868587123148e-8,undefined,0.00019232442869077104,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
sphere,1,4,1,-10-10,0.7,20,0.95,3.698868587123148e-8,undefined,0.00019232442869077104,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
sphere,1,5,1,-10-10,0.7,20,0.95,3.698868587123148e-8,undefined,0.00019232442869077104,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
sphere,1,6,1,-10-10,0.7,20,0.95,3.698868587123148e-8,undefined,0.00019232442869077104,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
sphere,1,7,1,-10-10,0.7,20,0.95,3.698868587123148e-8,undefined,0.00019232442869077104,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
sphere,1,8,1,-10-10,0.7,20,0.95,3.698868587123148e-8,undefined,0.00019232442869077104,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
sphere,1,9,1,-10-10,0.7,20,0.95,3.698868587123148e-8,undefined,0.00019232442869077104,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
sphere,1,10,1,-10-10,0.7,20,0.95,3.698868587123148e-8,undefined,0.00019232442869077104,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
sphere,1,11,1,-10-10,0.7,20,0.95,3.698868587123148e-8,undefined,0.00019232442869077104,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,
